gse,titel,zusammenfassung,n_proben,typ,taxon,datum,achse,urteil,code,begruendung
GSE687,Prim_Fibs,"To determine changes in gene expression in primary fibroblasts undergoing replicative senescence, a direct comparison between early passage proliferating cells and senescent cells was performed. Frozen stocks of the primary fibroblasts (HMF3) from which the lines HMF3A and HMF3Dwt were derived (O'Hare, PNAS:98, 2001) were serially passaged twice through to senescence to yield 2 independent sets of RNA. A third set of RNA was from a different female donor (F1068). The three different sets of RNA were put on 4 arrays each. Data is also provided for F1068 fibroblasts at late passage. Keywords = fibroblast Keywords = senescence Keywords = breast Keywords: ordered",16.0,Expression profiling by array,Homo sapiens,,MPS,HAND,-,Handsichtung
GSE302248,BCAT1 as a critical regulator of human chondrosarcoma progression and differentiation through enzymatic and non-enzymatic mechanisms,"Human chondrosarcoma is a malignant bone tumor with a poor prognosis due to its resistance to conventional therapies. In this study, we investigated the role of Branched-Chain Amino Acid Transaminase 1 (BCAT1) in chondrosarcoma pathogenesis. BCAT1 depletion impairs proliferation and tumorigenicity both in vitro and in vivo in a xenograft model, underscoring its oncogenic role. Transcriptome analyses revealed that BCAT1 suppresses the chondrocyte differentiation pathway by inhibiting the expression of SOX9, a master regulator of normal chondrogenesis, through epigenetic regulation. This process depends on BCAT1’s enzymatic activity to generate α-ketoglutarate, which subsequently alters histone methylation status. Additionally, the CXXC motif of BCAT1 scavenges reactive oxygen species (ROS) independently of its enzymatic activity, maintaining G2/M checkpoint signaling and preventing ROS-induced cellular senescence. Finally, knockdown experiments in patient-derived primary cells confirm the clinical significance of BCAT1 function in human chondrosarcoma. These findings establish BCAT1 as a critical moonlighting enzyme in chondrosarcoma proliferation and differentiation, presenting a potential therapeutic target for this challenging cancer.",16.0,Expression profiling by high throughput sequencing,Homo sapiens,,CCD_CMPD,HAND,-,Handsichtung
GSE314190,RAB3GAP2 is a Regulator of Skeletal Muscle Endothelial Cell Proliferation and Associated with Capillary Density,"Skeletal muscle fiber composition and capillary density influence physical performance and whole-body metabolic properties. ~45% of the variance in fiber type is heritable, which motivated us to perform a genome-wide association study of skeletal muscle histology from 656 Swedish men. Four independent variants were associated (p < 5x10− 8) with proportion of type IIx fibers or capillary-to-fiber ratio (C:F). The strongest signal localized to the rs115660502 variant, where the G-allele corresponded with increased C:F and reduced skeletal muscle expression of the proximal gene, RAB3 GTPase Activating Non-Catalytic Protein Subunit 2 (RAB3GAP2). The G-allele was less frequent in elite short-track sprinters and more frequent in endurance athletes than in matched non-athlete (population) controls; RAB3GAP2 expression was reduced by high-intensity intermittent training. RAB3GAP2 protein was not uniformly expressed in muscle tissue but localized to the endothelium and capillaries. Experimental reduction of RAB3GAP2 in human endothelial cells led to increased tube formation in vitro, to regulation of secreted factors promoting angiogenesis and T-cell activation, to reduced intracellular levels of von Willebrand factor (VWF) and, post-implantation, to increased endothelial cell density in vivo in mice. The amount of RAB3GAP2 in skeletal muscle was positively associated with exercise-induced release of VWF in vivo in humans. By regulating the release of protein factors (VWF, CD70, TNC, TNXB, MCP1, IGFBP3, COL1A1, TFPI2 and tPA), RAB3GAP2 influences fitness adaptation after exercise by improving muscle healing and promotion of capillary formation.",16.0,Expression profiling by high throughput sequencing,Homo sapiens,,OI,HAND,-,Handsichtung
GSE218575,"Transcriptomic analysis of Nintedanib, Alpelisib and Nintedanib;Alpelisib treated bladder tumors","Nintedanib is a potent anti-fibrotic angio-kinase inhibitor, which has shown clinical efficacy in combination with chemotherapy in locally advanced muscle invasive BC patients. Nintedanib inhibits Fibroblast Growth Factor receptors (FGFRs), validated targets in patients with BC harboring FGFR3/2 genetic alterations. Here, we aimed at studying its mechanisms of action to understand therapy their combination (n=4). Reads were mapped separately against the human and mouse genomes to differentiate tumor vs. stromal expression changes",16.0,Expression profiling by high throughput sequencing,Homo sapiens; Mus musculus,,FGFR3,HAND,-,Handsichtung
GSE189146,AAV-delivered suppressor tRNA overcomes a nonsense mutation in mice (mRNA-seq),"In this study, we utilized a mouse model of mucopolysaccharidosis type I (MPS-I) carrying a homozygous nonsense mutation in the Idua gene (Idua-W401X, TGG→TAG) to develop rAAV-delivered sup-tRNA therapeutics that can overcome a pathogenic UAG premature termination codon (PTC).",16.0,Expression profiling by high throughput sequencing,Homo sapiens; Mus musculus,,MPS,HAND,-,Handsichtung
GSE121384,Verification and rectification of cell type-specific splicing of a Seckel syndrome-associated ATR mutation using iPS cell model,"Seckel syndrome (SS) is a rare spectrum of congenital severe microcephaly and dwarfism. One SS-causative gene is Ataxia Telangiectasia and Rad3-Related Protein (ATR), and ATR (c.2101 A>G) mutation causes skipping of exon 9, resulting in a hypomorphic ATR defect in patients. Because ATR governs DNA repair response, the mutation has been considered the cause of an impaired response to DNA replication stress in neuronal progenitor cells (NPCs), which is associated with the pathogenesis of microcephaly. However, the precise mechanism through which the mutation causes SS remains unclear. To address this issue, we established induced pluripotent stem cells (iPSCs) from fibroblasts carrying the ATR mutation and an isogenic ATR-corrected counterpart iPSC clone by genome editing. Interestingly, SS-patient-derived iPSCs (SS-iPSCs) exhibited cell type-specific splicing; exon 9 was dominantly skipped in fibroblasts and iPSC-derived NPCs, but it was included in undifferentiated iPSCs and definitive endodermal cells. SS-iPSC-derived NPCs (SS-NPCs) showed distinct expression profiles from ATR non-mutated NPCs. In SS-NPCs, abnormal mitotic spindles were observed more frequently than in gene-corrected counterparts, and the alignment of NPCs in the surface of the neurospheres was perturbed. Finally, we tested several splicing-modifying compounds and found that a CLK1 inhibitor, TG003, could pharmacologically rescue the exon 9 skipping in SS-NPCs. Furthermore, treatment with TG003 restored the function of ATR in SS-NPCs and decreased the frequency of abnormal mitotic events. In conclusion, our iPSC model of SS revealed a novel function of the ATR mutation in NPCs and NPC-specific missplicing, proving its usefulness for dissecting the pathophysiology of ATR-SS.",15.0,Expression profiling by high throughput sequencing,Homo sapiens,,FREITEXT_KLEINWUCHS,HAND,-,Handsichtung
GSE188698,Spatial and temporal development of Müller glial cells in hiPSC-derived retinal organoids facilitating the cell enrichment and transcriptome analysis,"Müller glial cells (MGs) play important roles in human retina during physiological and pathological conditions. However, there are still many obstacles to obtain large numbers of human MGs in vitro so far, which hinder the further study of MGs. Human induced pluripotent stem cells (hiPSCs) have capacity to differentiate into almost all body cells, even develop complex, organized tissues, including retinal organoids (ROs) with all cell subtypes, providing many opportunities in study of retinal development and disorders. This study explored the development of MGs within hiPSC-derived ROs and the approach to isolate and expand these MGs. In ROs, MG precursors expressing SOX9 and Ki67 appeared since differentiation day 60 (D60), while SOX9+ CRALBP+ GS+ and Ki67- mature MGs developed from D150. MGs isolated from ROs aged older than 120 days could be expanded and exhibited a spindle-like morphology under adherent culture conditions. These expanded cells expressed MG specific markers SOX9, vimentin, nestin, CRALBP and GS, and responded to L-glutamate stimuli revealed by whole-cell patch-clamp recordings. They could be passaged several times, yielding large numbers of cells in a short period. In addition, they did not transdifferentiate into other types of retinal cells after subretinal transplantation in NOD/SCID mice. This study firstly clarified the timecourse of human MG development in ROs, and established a simple approach to expand and enrich these cells from ROs, paving the way for downstream investigation and application of human MGs.",15.0,Expression profiling by high throughput sequencing,Homo sapiens,,CCD_CMPD,HAND,-,Handsichtung
GSE242523,Gene expression profiling of human induced pluripotent stem cell (hiPSC)-derived chondrospheroids,"Differentiated chondrocytes from human induced pluripotent stem cells (hiPSCs) have the potential to permanently restore damaged cartilage in arthritic joints, yet chondrocyte hypertrophy is a major barrier for translational therapy.  We developed a serum-free hiPSC differentiation strategy that inhibited, then activated BMP signaling in a purified SOX9+ subpopulation that naturally detaches from monolayer cultures (termed “chondrospheroids”).  Transcriptional profiles of chondrospheroids at days 14, 28, and 42 were measured using bulk RNA sequencing, with hiPSC and sclerotome cells included as controls.",15.0,Expression profiling by high throughput sequencing,Homo sapiens,,CCD_CMPD,HAND,-,Handsichtung
GSE208574,Modeling 16p13.11 deletions in patient stem cell derived neurons,"16p13.11 copy number variants (CNVs) have been associated with autism, schizophrenia, psychosis, intellectual disability, and epilepsy. The majority of 16p13.11 deletions or duplications occur within three well-defined intervals, and despite growing knowledge of the functions of individual genes within these intervals, the molecular mechanisms that underlie commonly observed clinical phenotypes remain largely unknown. Patient-derived, induced pluripotent stem cells (iPSCs) provide a platform for investigating the morphological, electrophysiological, and gene-expression changes that result from 16p13.11 CNVs in human-derived neurons. Patient derived iPSCs with varying sizes of 16p13.11 deletions and familial controls were differentiated into cortical neurons for phenotypic analysis. High-content imaging and morphological analysis of patient-derived neurons demonstrated an increase in neurite branching in patients compared with controls. Whole-transcriptome sequencing revealed expression level changes in neuron development and synaptic-related gene families, suggesting a defect in synapse formation. Subsequent quantification of synapse number demonstrated increased numbers of synapses on neurons derived from early-onset patients compared to controls. The identification of common phenotypes among neurons derived from patients with overlapping 16p13.11 deletions will further assist in ascertaining common pathways and targets that could be utilized for screening drug candidates. These studies can help to improve future treatment options and clinical outcomes for 16p13.11 deletion patients.",15.0,Expression profiling by high throughput sequencing,Homo sapiens,,MPS,HAND,-,Handsichtung
GSE6565,Fetal cartilage selective genes identified in a genome-scale analysis,"Cartilage plays a fundamental role in the development of the human skeleton. Early in embryogenesis, mesenchymal cells condense and differentiate to chondrocytes to shape the early skeleton. Subsequently, the cartilage anlagen differentiate to form the growth plates, which are responsible for linear bone growth, and the articular chondrocytes, which facilitate joint function. However, despite the multiplicity of roles of cartilage during human fetal life, surprisingly little is known about its transcriptome. To address this, a whole genome microarray expression profile was generated using RNA isolated from 18-22 week human distal femur fetal cartilage and compared with a database of control normal human tissues aggregated at UCLA, termed CELSIUS. From the wealth of data, 161 cartilage-selective genes were identified, defined as genes significantly expressed in cartilage with low expression and little variation across a panel of 34 non-cartilage tissues. Among these 161 genes were cartilage-specific genes such as collagen genes and 25 genes which have been associated with skeletal phenotypes in humans and/or mice. Many of the other cartilage-selective genes do not have established roles in cartilage or are novel, unannotated genes. Quantitative RT-PCR confirmed the unique pattern of gene expression observed by microarray analysis. Defining the gene expression pattern for cartilage has identified new genes that may contribute to human skeletogenesis as well as provided further candidate genes for skeletal dysplasias. The data suggest that fetal cartilage is a complex and transcriptionally active tissue and demonstrate that the set of genes selectively expressed in the tissue has been greatly underestimated. Keywords: Normal Tissue expression profile, tissue-selective Genes, tissue-specific genes",14.0,Expression profiling by array,Homo sapiens,,FREITEXT_WACHSTUMSFUGE,HAND,-,Handsichtung
GSE69668,Cartilage Oligomeric Matrix Protein (COMP) contributes to the development and metastasis of breast cancer,"Cartilage Oligomeric Matrix Protein (COMP) is a soluble pentameric protein expressed in cartilage and involved in collagen organization. Publicly available mRNA expression array data indicated that COMP is overexpressed in breast cancer tissue. Tissue microarrays derived from two cohorts of patients with breast cancer (n = 122 and n = 498) were immunostained, which revealed varying amounts of COMP, both in the tumor cells and surrounding stroma. High levels of COMP in tumor cells correlated, independently of other variables, with poor survival and faster recurrence (metastases). Breast cancer cells, MDA-MB-231, stably expressing COMP were injected into the mammary fat pad of SCID (CB-17/Icr-Prkdcscid/Rj) mice. Tumors expressing COMP grew to significantly larger volumes and had increased metastasis as compared to control, mock transfected, tumors. In vitro experiments confirmed that COMP expressing cells were more invasive, which was in part related to an upregulation of metalloprotease-9. Further, microarray analyses of gene expression in tumors formed in vivo showed that expression of COMP was protective against endoplasmatic reticulum stress. This observation was confirmed in vitro since COMP expressing cells showed better survival than mock when treated with brefeldin, which leads to accumulation of proteins in endoplasmatic reticulum. The mRNA pathway analyses also implicated a metabolic switch leading to a more severe Warbug effect, which was confirmed in vitro by measurement of cell respiration and lactate production. In conclusion, COMP is a novel biomarker in breast cancer, which contributes to the severity of the disease by several novel molecular mechanisms.",14.0,Expression profiling by array,Homo sapiens,,PSACH_MED,HAND,-,Handsichtung
GSE133757,Induction of Sertoli-like cells from human fibroblasts by NR5A1 and GATA4,"Sertoli cells are essential nurse cells in the testis that regulate the process of spermatogenesis and establish the immune-privileged environment of the blood-testis-barrier (BTB). The induction of human Sertoli cells from fibroblasts could provide cellular sources for fertility and transplantation treatments. Here, we report the in vitro reprogramming of human fibroblasts to Sertoli cells and characterize these human induced Sertoli-like cells (hiSCs). Initially, five transcriptional factors (NR5A1, GATA4, WT1, SOX9 and DMRT1) and a gene reporter carrying the AMH promoter were utilized to obtain the hiSCs. We further reduce the number of reprogramming factors to two, i.e., NR5A1 and GATA4, and show that these hiSCs have transcriptome profiles that are similar to those of primary human Sertoli cells. Consistent with the known cellular properties of Sertoli cells, hiSCs attract endothelial cells and exhibit high number of lipid droplets in the cytoplasm. More importantly, hiSCs can sustain the viability of spermatogonia cells harvested from mouse seminiferous tubules. In addition, hiSCs suppress the production of IL-2 and proliferation of human T lymphocytes. When hiSCs were cotransplanted with human embryonic kidney cells, these xenotransplanted human cells survived longer in mice with normal immune systems. hiSCs also allow us to determine a gene associated with Sertoli-only syndrome (SCO), CX43, is indeed important in regulating the maturation of Sertoli cells.",14.0,Expression profiling by high throughput sequencing,Homo sapiens,,CCD_CMPD,HAND,-,Handsichtung
GSE141100,Primary alcohol-activated human and mouse Hepatic Stellate Cells (HSCs) share similarities in gene expression profiles,"Alcoholic liver disease (ALD) is a leading cause of cirrhosis in the United States, which is characterized by extensive deposition of extracellular matrix proteins (ECM) and formation of a fibrous scar. Hepatic Stellate Cells (HSCs) are the major source of Collagen Type I producing myofibroblasts in ALD fibrosis. However, the mechanism of alcohol-induced activation of human and mouse HSCs is not fully understood. We compared the gene expression profiles of primary cultured human HSCs (hHSCs) isolated from patients with ALD (n=3) or without underlying liver disease (n=4) using RNA-Seq analysis. Furthermore, the gene expression profile of ALD hHSCs was compared to that of alcohol-activated mHSCs (isolated from intragastric (IG) alcohol-fed mice), or carbon-tetrachloride (CCl4)-activated mouse HSCs (mHSCs). Comparative transcriptome analysis revealed that ALD hHSCs, and alcohol- and CCl4-activated mHSCs share the expression of common HSC activation (Col1a1, Acta1, PAI-1, TIMP1, LOXL2), indicating that a common mechanism underlies activation of human and mouse HSCs. Furthermore, alcohol-activated mHSCs most closely recapitulate the gene expression profile of ALD hHSCs. We identified the genes that are similarly and uniquely upregulated in primary cultured alcohol-activated hHSCs and freshly isolated mHSCs, which include CSF1R, PLEK, LAPTM5, CD74, CD53, MMP9, CD14, CTSS, TYROBP, ITGB2, and other genes (compared to CCl4-activated mHSCs). We identified genes in alcohol-activated mHSCs from IG alcohol-fed mice that are largely consistent with the gene expression profile of primary cultured hHSCs from ALD patients. These genes are unique to alcohol-induced HSC activation in two species, and therefore, may become new targets or readout for anti-fibrotic therapy in experimental models of ALD.",14.0,Expression profiling by high throughput sequencing,Homo sapiens,,OI,HAND,-,Handsichtung
GSE32398,Expression data from hyaline cartilages,Comparison of human prepuberal articular and growth plate cartilage,13.0,Expression profiling by array,Homo sapiens,,FREITEXT_WACHSTUMSFUGE,HAND,-,Handsichtung
GSE22855,Comparison of enchondromas with controls (growth plate and cartilage),"Ollier disease is a rare, non-hereditary disorder which is characterized by the presence of multiple enchondromas (EC), benign cartilaginous neoplasms arising within the medulla of the bone, with an asymmetric distribution. The risk of malignant transformation towards central chondrosarcoma (CS) is increased up to 35%. The etiology of Ollier disease is unknown. We therefore undertook genome-wide expression profiling using Illumina Beadarray v3.0 for 7 enchondromas of 6 patients and compared them with controls in order to find differentially expressed genes in these benign tumors.",13.0,Expression profiling by array,Homo sapiens,,FREITEXT_WACHSTUMSFUGE,HAND,-,Handsichtung
GSE144557,Cockayne syndrome proteins CSA and CSB maintain mitochondrial homeostasis through NAD+ signaling [HumanHT-12 V4.0],"Cockayne syndrome (CS) is a rare premature aging disease, which in the majority of cases is caused by mutations of the genes encoding the CSA or CSB proteins. CS patients display cachectic dwarfism and severe neurological manifestations and die by 12 years of age on average. The CS proteins are involved in transcription and DNA repair, including a specialized form of DNA repair called transcription-coupled nucleotide excision repair (TC-NER). However, there is also evidence for mitochondrial dysfunction in CS, likely contributing to the severe premature aging phenotype of this disease. Our cross-species transciptomic analysis in CS postmortem brain tissue, CS mouse and C. elegans models showed that mitochondrial dysfunction is indeed a common feature in CS. Interestingly, the restoration of mitochondrial dysfunction through NAD+ supplementation significantly improved lifespan and healthspan in the C. elegans models of CS, highlighting mitochondrial dysfunction as a major driver of the aging features of CS. We proceeded to perform molecular studies on cerebellar samples obtained from CS patients. We found that these patients exhibited molecular signatures of dysfunctional mitochondrial dynamics that can be corrected with NAD+ supplementation in primary cells with depleted CSA or CSB. Our study provides support for the interconnection between two major aging theories, DNA damage and mitochondrial dysfunction. Together these two agents contribute to an accelerated aging program that can be averted by NAD+ supplementation.",12.0,Expression profiling by array,Homo sapiens,,FREITEXT_KLEINWUCHS,HAND,-,Handsichtung
GSE122736,Convergence of Cockayne Syndrome Group A and B Proteins at rRNA Transcription through Nucleolin Regulation,"Cockayne Syndrome (CS) is a rare neurodegenerative disease characterized by short stature, cachexia, sun-sensitivity, accelerated aging, and short lifespan. Mutations in two human genes, ERCC8/CSA and ERCC6/CSB, are causative for CS and the protein products of these genes, CSA and CSB, while structurally unrelated, play roles in DNA repair and other aspects of DNA metabolism in human cells. Many clinical and molecular features of CS remain poorly understood, and it has been suggested that CSA and CSB regulate transcription of rDNA genes and ribosome biogenesis. The goal of this study was to investigate the dysregulation of rRNA synthesis in CS. Here, we report that Nucleolin (Ncl), a nucleolar protein that regulates rRNA synthesis and ribosome biogenesis, interacts specifically with CSA and CSB. In addition, CSA induces ubiquitination of Ncl, enhances binding of CSB to Ncl, and CSA and CSB both stimulate binding of Ncl to rDNA and subsequent rRNA synthesis. These findings suggest that CSA and CSB are positive regulators of rRNA synthesis via Ncl regulation. A majority of CS patients carry mutations in CSA and CSB and present with similar clinical features, thus our findings may provide novel insights into disease mechanism and the neuropathological features of CS.",12.0,Expression profiling by high throughput sequencing,Homo sapiens,,FREITEXT_KLEINWUCHS,HAND,-,Handsichtung
GSE214886,Downregulation of CBX7 induced by EZH2 upregulates FGFR3 expression to reduce sensitivity to cisplatin in bladder cancer,"Cisplatin-based cytotoxic chemotherapy is considered to be the first-line therapy for advanced bladder cancer (BC), but resistance to cisplatin limits its antitumor effect. Fibroblast growth factor receptor 3 (FGFR3) has been reported to contribute to the progression and cisplatin resistance of BC. Meanwhile, chromobox protein homolog 7 (CBX7) was reported to inhibit BC progression. And our previous RNA-seq data on CBX7 (GSE185630) suggested that CBX7 might repress FGFR3，but the underlying mechanism and other cancer-related functions of CBX7 are still unknown.",12.0,Expression profiling by high throughput sequencing,Homo sapiens,,FGFR3,HAND,-,Handsichtung
GSE16464,Chondrogenic differentiation potential of OA chondrocytes and their use in autologous chondrocyte transplantation,"Autologous chondrocyte transplantation (ACT) is a routine technique to regenerate focal cartilage lesions. However, patients with osteoarthritis (OA) are lacking an appropriate long-lasting treatment alternative, partly since it is not known if chondrocytes from OA patients have the same chondrogenic differentiation potential as chondrocytes from donors not affected by OA. Articular chondrocytes from patients with OA undergoing total knee replacement (Mankin Score >3, Ahlbäck Score >2) and from patients undergoing ACT, here referred to as normal donors (ND), were isolated applying protocols used for ACT. Their chondrogenic differentiation potential was evaluated both in high-density pellet and scaffold (Hyaff-11) cultures by histological proteoglycan assessment (Bern Score) and immunohistochemistry for collagen types I and II. Chondrocytes cultured in monolayer and scaffolds were subjected to gene expression profiling using genome-wide oligonucleotide microarrays. Expression data were verified by using quantitative RT-PCR.   Chondrocytes from ND and OA donors demonstrated accumulation of comparable amounts of cartilage matrix components, including sulphated proteoglycans and collagen types I and II. The mRNA expression of cartilage markers (COL2A1, COMP, aggrecan, CRTL1, SOX9) and genes involved in matrix synthesis (biglycan, COL9A2, COL11A1, TIMP4, CILP2) was highly induced in 3D cultures of chondrocytes from both donor groups. Genes associated with hypertrophic or OA cartilage (COL10A1, RUNX2, periostin, ALP, PTHR1, MMP13, COL1A1, COL3A1) were not significantly regulated between the two groups of donors. The expression of 661 genes, including COMP, FN1, and SOX9, were differentially regulated between OA and ND chondrocytes cultured in monolayer. During scaffold culture, the differences diminished between the OA and ND chondrocytes, and only 184 genes were differentially regulated.   Only few genes were differentially expressed between OA and ND chondrocytes in Hyaff-11 culture. The risk of differentiation into hypertrophic cartilage does not seem to be increased for OA chondrocytes. Our findings suggest that the chondrogenic capacity is not significantly affected by OA and OA chondrocytes fulfill the requirements for matrix-associated ACT.  Keywords: time course, cell type comparison, tissue engineered cartilage; osteoarthritis; Hyaff-11 scaffold; human chondrocytes; gene expression profiling; regenerative medicine; differentiation potential",12.0,Expression profiling by array,Homo sapiens,,OI|PSACH_MED|CCD_CMPD,HAND,-,Handsichtung
GSE111906,Patient iPSC-derived neural stem cells display progressive enlargement of lysosomes and disruptions of glycosaminoglycan pathway and autophagy in concordance with clinical severity of Mucopolysaccharidosis I,"Mucopolysaccharidosis type I (MPS I) is caused by genetic defects in alpha-L-iduronidase (IDUA), a lysosomal enzyme involved in the breakdown and recycling of glycosaminoglycans (GAGs). Although an enzyme replacement therapy is available, the efficacy for the treatment of neuropathic symptoms is limited. To facilitate drug discovery and model disease pathophysiology, we have generated neural stem cells (NSCs) from MPS I patient-derived iPSCs. NSCs exhibited characteristic disease phenotypes with deficiency of alpha-L-iduronidase (IDUA), accumulation of glycosaminoglycans (GAGs) and enlargement of lysosomes, correlating with the severity of clinical symptoms. Transcriptome profiling of NSCs revealed differential expression of 429 genes that changed more extensively in the more severe Hurler syndrome subgroup compared to the Hurler-Scheie (median severe) and Scheie (less severe) subgroups. Clustering and pathway analyses demonstrated high concordance of the severity of neurological defects with marked dysregulation of GAG biosynthesis and degradation, lysosomal function and extracellular matrix. Gene Ontology (GO) analysis identified a dramatic upregulation of autophagy pathway, especially in the Hurler syndrome. Thus, GAG accumulation in the patient cells disrupts lysosomal homeostasis affecting multiple related cellular pathways which compensates for IDUA deficiency. These dysregulated process likely lead to enhanced autophagy and more severe disease states. Our studies provide useful tools for clinical biomarker development and potential targets for drug development.",12.0,Expression profiling by high throughput sequencing,Homo sapiens,,MPS,HAND,-,Handsichtung
GSE185333,Gene Expression of Fibroblasts Derived from Knee Tissue of Patients Undergoing Primary Total Knee Arthroplasty for Osteoarthritis,"Arthrofibrosis is characterized by excessive extracellular matrix (ECM) deposition that results in restricted joint motion after total knee arthroplasty (TKA). Current surgical and pharmacologic treatment options are limited.  Therefore, an in vitro model for joint myofibroblastogenesis is valuable to investigate the arthrofibrotic process and identify diagnostic biomarkers and treatment options. In this study,  we obtained intraoperative posterior capsule (PC), quadriceps tendon (QT), and suprapatellar pouch (SP) tissue from knees of four patients undergoing primary TKA for osteoarthritis and characterized primary outgrowth cells from these tissues in the absence and presence of transforming growth factor beta 1 (TGFβ1), a pro-myofibroblastic cytokine. Light microscopy of knee outgrowth cells revealed spindle-shaped cells while immunofluorescence (IF) established staining for the fibroblast-specific antigen TE-7 and Vimentin, which are characteristics of fibroblasts. These fibroblasts differentiate readily into myofibroblasts as highlighted by enhanced alpha smooth muscle actin (ACTA2) mRNA and protein expression and increased collagen mRNA (i.e., collagen type 1 (COL1A1) and collagen type 3 (COL3A1)) expression and collagenous matrix deposition in the presence of TGFβ1. Of note, these studies also revealed that knee-derived fibroblasts are more sensitive to TGFβ1-mediated myofibroblastogenesis than adipose-derived mesenchymal stem cells. Importantly, while outgrowth fibroblasts isolated from four patients and three anatomical regions exhibit similar gene expression profiles, these knee fibroblasts form a unique gene expression cluster within the fibroblast niche as revealed by RNA-sequencing analysis. In conclusion, our study provides a fibroblast/myofibroblast model of outgrowth knee cells derived from patients undergoing primary TKA that can be employed to assess myofibroblast-related processes and test novel pharmacological strategies in vitro for arthrofibrosis.",12.0,Expression profiling by high throughput sequencing,Homo sapiens,,OI,HAND,-,Handsichtung
GSE160207,RNA Sequencing Analysis of a Whole Blood Transcriptome in Estonian Families with Osteogenesis Imperfecta,"Purpose: The main objective of this pilot study was to compare blood transcriptional landscape of OI patients with COL1A1 pathogenic variants and their healthy relatives, in order to find out different gene expression and dysregulated molecular pathways in OI. Methods: We performed RNA sequencing analysis of the whole blood in seven individuals affected with different OI severity and their five unaffected relatives from the three families. The data was analyzed using edgeR package of R Bioconductor. Functional profiling and pathway analysis of the identified differently expressed genes was performed with g:GOSt and MinePath web-based tools. Results: We identified 114 differently expressed genes. The expression of 79 genes was up-regulated, while 35 genes were down-regulated. The functional analysis identified a presence of dysregulated interferon signaling pathways (IFI27, IFITM3, RSAD12, GBP7). Additionally, the expressions of the genes related to extracellular matrix organization, Wnt signaling, vitamin D metabolism and MAPK-ERK 1/2 pathways were also altered. Conclusions: The current pilot study successfully captured the differential expression of inflammation and bone metabolism pathways in OI patients.",12.0,Expression profiling by high throughput sequencing,Homo sapiens,,OI,HAND,-,Handsichtung
GSE284526,"Replication stress, microcephalic primordial dwarfism, and compromised immunity in ATRIP deficient patients.","Ataxia telangiectasia and Rad3-related (ATR) kinase and its interacting protein ATRIP orchestrate the replication stress response. Homozygous splice variants in the ATRIP gene, resulting in ATRIP deficiency, were identified in two patients of independent ancestry with microcephaly, primordial dwarfism, and recurrent infections. The c.829+5G>T patient exhibited lymphopenia, poor vaccine responses, autoimmune features with hemolytic anemia, and neutropenia. Immunophenotyping revealed reduced CD16+/CD56dim NK cells and absent naïve T cells, MAIT cells, and iNKT cells. Lymphocytic defects were characterized by TCR oligoclonality, abnormal class switch recombination, and impaired T cell proliferation. ATRIP deficiency resulted in low-grade ATR activation but impaired CHK1 phosphorylation under genotoxic stress. ATRIP-deficient cells inadequately regulated DNA replication, leading to chromosomal instability, compromised cell cycle control, and impaired cell viability. CRISPR-SelectTIME confirmed reduced cell fitness for both variants. This study establishes ATRIP deficiency as a monogenic cause of microcephalic primordial dwarfism, highlights ATRIP's critical role in protecting immune cells from replication stress, and offers new insights into its canonical functions.",12.0,Expression profiling by high throughput sequencing; Other,Homo sapiens,,FREITEXT_KLEINWUCHS,HAND,-,Handsichtung
GSE78853,Tricyclic Antidepressants Induce Inactivation of Hepatic Stellate Cell (HSC) Myofibroblasts,"Hepatic stellate cells (HSCs) are the primary cell type responsible for liver fibrosis, the final common pathway leading to cirrhosis and liver failure for nearly every cause of chronic liver disease. Activation of HSCs in response to injury represents the key step in hepatic fibrogenesis, and is characterized by a phenotypic change from a non-fibrogenic, quiescent HSC to a fibrogenic HSC myofibroblast that secretes extracellular matrix proteins responsible for the fibrotic scar. We developed a small molecule screen to identify compounds that revert fibrotic human HSC myofibroblasts to an inactive phenotype through the quantification of lipid droplets with fluorescent microscopy. Conditions were optimized in a 384-well format using culture in Matrigel as a positive control. We screened 1600 compounds and identified 30 small molecules that induce reversion to an inactive phenotype. Among the hits, we identified five tricyclic antidepressants (TCAs) and showed that this class of drugs also repressed ACTA2 and COL1A1 while promoting PPAR-gamma expression. RNA sequencing analysis implicated extracellular matrix proteins and the sphingolipid pathway as a target of the TCAs.",12.0,Expression profiling by high throughput sequencing,Homo sapiens,,OI,HAND,-,Handsichtung
GSE43349,Geometric control of the coronary artery endothelial cell transcriptome following standard growth condition,"Analysis of the effects of cell shape on human coronary artery endothelial cell transcription.  The hypothesis is that defined alterations in endothelial cell shape uniquely affect the endothelial transcriptome. Human coronary artery endothelial cells were plated onto spatially defined micropatterns (Cytoo) forcing them to conform to Disc, Crossbow, H, Y, or L shapes.  As a control, human coronary artery endothelial cells were plated on non-restrictive areas of the Cytoo growth plate.",12.0,Expression profiling by array,Homo sapiens,,FREITEXT_WACHSTUMSFUGE,HAND,-,Handsichtung
